x_m,y_m,yaw_rad
-6.4747,15.6068,5.3233
-6.3699,15.4571,5.3233
-6.2651,15.3074,5.3233
-6.1603,15.1577,5.3233
-6.0555,15.0081,5.3233
-5.9507,14.8584,5.3233
-5.8458,14.7087,5.3233
-5.7410,14.5590,5.3233
-5.6362,14.4093,5.3233
-5.5314,14.2596,5.3233
-5.4266,14.1099,5.3233
-5.3031,13.9752,5.5851
-5.1490,13.8770,5.8469
-4.9834,13.7998,5.8469
-4.8178,13.7226,5.8469
-4.6522,13.6453,5.8469
-4.4865,13.5681,5.8469
-4.3324,13.4699,5.5851
-4.1924,13.3525,5.5851
-4.0690,13.2177,5.3233
-3.9642,13.0680,5.3233
-3.8594,12.9183,5.3233
-3.7545,12.7687,5.3233
-3.6497,12.6190,5.3233
-3.5449,12.4693,5.3233
-3.4401,12.3196,5.3233
-3.3353,12.1699,5.3233
-3.2305,12.0202,5.3233
-3.1257,11.8705,5.3233
-3.0208,11.7208,5.3233
-2.9160,11.5711,5.3233
-2.8112,11.4215,5.3233
-2.7064,11.2718,5.3233
-2.6016,11.1221,5.3233
-2.4968,10.9724,5.3233
-2.3920,10.8227,5.3233
-2.2871,10.6730,5.3233
-2.1823,10.5233,5.3233
-2.0775,10.3736,5.3233
-1.9727,10.2240,5.3233
-1.8679,10.0743,5.3233
-1.7631,9.9246,5.3233
-1.6583,9.7749,5.3233
-1.5534,9.6252,5.3233
-1.4486,9.4755,5.3233
-1.3438,9.3258,5.3233
-1.2594,9.1637,5.0615
-1.2199,8.9853,4.7997
-1.2279,8.8028,4.5379
-1.2596,8.6228,4.5379
-1.2913,8.4428,4.5379
-1.2993,8.2603,4.7997
-1.2834,8.0782,4.7997
-1.2674,7.8962,4.7997
-1.2515,7.7142,4.7997
-1.2356,7.5321,4.7997
-1.2197,7.3501,4.7997
-1.2037,7.1680,4.7997
-1.1878,6.9860,4.7997
-1.1719,6.8039,4.7997
-1.1323,6.6255,5.0615
-1.0698,6.4538,5.0615
-1.0073,6.2821,5.0615
-0.9448,6.1104,5.0615
-0.8823,5.9387,5.0615
-0.8198,5.7670,5.0615
-0.7573,5.5952,5.0615
-0.6948,5.4235,5.0615
-0.6105,5.2614,5.3233
-0.5056,5.1117,5.3233
-0.4008,4.9621,5.3233
-0.2960,4.8124,5.3233
-0.1912,4.6627,5.3233
-0.0864,4.5130,5.3233
0.0184,4.3633,5.3233
0.1232,4.2136,5.3233
0.2281,4.0639,5.3233
0.3329,3.9142,5.3233
0.4377,3.7645,5.3233
0.5425,3.6149,5.3233
0.6269,3.4528,5.0615
0.6894,3.2811,5.0615
0.7519,3.1093,5.0615
0.8144,2.9376,5.0615
0.8539,2.7592,4.7997
0.8699,2.5772,4.7997
0.8675,2.4322,4.5379
0.8353,2.2909,4.3633
0.7793,2.1570,4.2761
0.7209,2.0240,4.2761
0.6625,1.8911,4.2761
0.6041,1.7581,4.2761
0.5457,1.6251,4.2761
0.4874,1.4922,4.2761
0.4290,1.3592,4.2761
0.3706,1.2263,4.2761
0.3122,1.0933,4.2761
0.2538,0.9603,4.2761
0.1954,0.8274,4.2761
0.1370,0.6944,4.2761
0.0786,0.5615,4.2761
0.0212,0.4281,4.2761
-0.0157,0.2879,4.5379
-0.0228,0.1431,4.7124
-0.0000,0.0000,4.9742
