x_m,y_m,yaw_rad
5.7278,9.6041,1.4835
5.7506,9.8645,1.4835
5.7734,10.1250,1.4835
5.7962,10.3855,1.4835
5.8190,10.6459,1.4835
5.8418,10.9064,1.4835
5.8646,11.1669,1.4835
5.8874,11.4274,1.4835
5.8874,11.6888,1.6581
5.8420,11.9463,1.8326
5.7525,12.1920,2.0071
5.6218,12.4185,2.1817
5.4537,12.6188,2.3562
5.2688,12.8036,2.3562
5.0840,12.9885,2.3562
4.8991,13.1734,2.3562
4.7142,13.3583,2.3562
4.5293,13.5432,2.3562
4.3444,13.7281,2.3562
4.1595,13.9129,2.3562
3.9592,14.0810,2.5307
3.7328,14.2118,2.7053
3.4871,14.3012,2.8798
3.2345,14.3689,2.8798
2.9771,14.4143,3.0543
2.7156,14.4143,3.2289
2.4581,14.3688,3.4034
2.2124,14.2794,3.5779
1.9860,14.1487,3.7525
1.7857,13.9806,3.9270
1.6176,13.7803,4.1015
1.4676,13.5661,4.1015
1.3369,13.3397,4.2761
1.2475,13.0940,4.4506
1.1798,12.8414,4.4506
1.1488,12.6980,4.5379
1.1307,12.5523,4.5379
1.1150,12.4063,4.5379
1.0992,12.2604,4.5379
1.0835,12.1144,4.5379
1.0678,11.9684,4.5379
1.0521,11.8224,4.5379
1.0363,11.6764,4.5379
1.0206,11.5305,4.5379
1.0023,11.3848,4.5379
0.9710,11.2414,4.3633
0.9258,11.1018,4.2761
0.8671,10.9672,4.1888
0.7956,10.8391,4.1015
0.7120,10.7185,4.0143
0.6169,10.6067,3.9270
0.5114,10.5047,3.8397
0.3964,10.4135,3.7525
0.2730,10.3340,3.6652
0.1337,10.2630,3.4907
-0.0121,10.2067,3.4034
-0.1600,10.1561,3.4034
-0.3080,10.1055,3.4034
-0.4560,10.0549,3.4034
-0.6039,10.0043,3.4034
-0.7497,9.9480,3.4907
-0.8890,9.8770,3.6652
-1.1032,9.7270,3.8397
-1.2881,9.5421,4.0143
-1.4380,9.3280,4.1888
