x_m,y_m,yaw_rad
7.0743,1.0666,3.3161
6.8168,1.0212,3.3161
6.5593,0.9758,3.3161
6.3068,0.9081,3.4907
6.0698,0.7976,3.6652
5.8434,0.6669,3.6652
5.6169,0.5361,3.6652
5.3905,0.4054,3.6652
5.1640,0.2746,3.6652
4.9376,0.1439,3.6652
4.7112,0.0132,3.6652
4.4742,-0.0973,3.4907
4.2285,-0.1867,3.4907
3.9828,-0.2762,3.4907
3.7371,-0.3656,3.4907
3.4914,-0.4550,3.4907
3.2457,-0.5445,3.4907
3.0000,-0.6339,3.4907
2.7543,-0.7233,3.4907
2.5018,-0.7910,3.3161
2.3607,-0.8090,3.1416
2.2185,-0.8136,3.0543
2.0765,-0.8047,2.9671
1.9361,-0.7824,2.8798
1.7983,-0.7469,2.7925
1.6646,-0.6985,2.7053
1.5360,-0.6376,2.6180
1.4138,-0.5649,2.5307
1.2973,-0.4832,2.4435
1.1814,-0.4007,2.4435
1.0654,-0.3183,2.4435
0.9487,-0.2369,2.5307
0.8259,-0.1651,2.6180
0.6969,-0.1052,2.7053
0.5628,-0.0579,2.7925
0.4248,-0.0234,2.8798
0.2841,-0.0022,2.9671
0.1421,0.0057,3.0543
0.0000,0.0000,3.2289
